osmid,y,x,highway,street_count,junction,longitude,latitude,pop_male,pop_female,pop_total,households
1123399740,7.0132821,100.4788545,,3,,100.4788545,7.0132821,18,25,43,18
1123399751,6.9951532,100.4829078,,3,,100.4829078,6.9951532,15,28,43,27
1123399771,7.0084059,100.476854,,3,,100.476854,7.0084059,19,28,47,25
1123399784,6.9940786,100.4825263,,3,,100.4825263,6.9940786,27,26,53,20
1123399813,6.9941704,100.4727516,,3,,100.4727516,6.9941704,23,19,42,18
1123399860,6.9945718,100.4827508,,3,,100.4827508,6.9945718,21,28,49,25
1123399863,7.0142618,100.4737446,,3,,100.4737446,7.0142618,15,26,41,17
1123399914,6.9943936,100.4807169,,3,,100.4807169,6.9943936,16,21,37,31
1123399940,7.0112828,100.4772089,,3,,100.4772089,7.0112828,17,18,35,21
1123399943,7.013175,100.4718925,,3,,100.4718925,7.013175,25,21,46,17
1123399945,6.994869,100.4819548,,3,,100.4819548,6.994869,25,30,55,17
1137030928,7.0222914,100.4990738,,3,,100.4990738,7.0222914,15,26,41,24
1140280757,7.0086169,100.4735109,,4,,100.4735109,7.0086169,23,29,52,22
1140280758,7.01108,100.4733872,,3,,100.4733872,7.01108,25,15,40,24
1160612966,6.9897602,100.4817925,,3,,100.4817925,6.9897602,29,17,46,29
1160612967,6.9966553,100.4894036,,3,,100.4894036,6.9966553,22,23,45,23
1160612969,7.003976,100.4753897,,3,,100.4753897,7.003976,10,25,35,17
1160612973,6.9971137,100.4880022,,3,,100.4880022,6.9971137,25,26,51,20
1160612974,7.0046686,100.4753324,,3,,100.4753324,7.0046686,27,21,48,20
1160612976,6.9906011,100.4821597,,4,,100.4821597,6.9906011,13,35,48,22
1160612981,6.9981924,100.4818363,,4,,100.4818363,6.9981924,17,23,40,25
1160612986,6.994236,100.4799938,,4,,100.4799938,6.994236,21,28,49,22
1160612990,6.9912386,100.4824247,,3,,100.4824247,6.9912386,21,25,46,20
1160617577,7.0154921,100.4741117,,3,,100.4741117,7.0154921,24,37,61,16
1160617588,7.0153059,100.4740319,,3,,100.4740319,7.0153059,26,21,47,21
1160617589,7.0186825,100.4728967,,4,,100.4728967,7.0186825,20,33,53,27
