osmid,y,x,highway,street_count,junction,longitude,latitude,capacity,is_shelter,shelter_names,shelter_min_dist_deg,pop_male,pop_female,pop_total,households,flood_level_s0,flood_distance_s0_deg,flood_level_s1,flood_distance_s1_deg
1680662691,6.9913418,100.4708763,,4,,100.4708763,6.9913418,1885.967934264123,False,,,29,29,58,17,1,0.00046871143442286164,3,0.0010131342278904875
1680662695,6.9913666,100.4640964,,1,,100.4640964,6.9913666,329.3184583831428,False,,,23,30,53,16,1,0.0011854818269744067,3,0.0034953747924723368
1680662697,6.991413,100.4675764,,3,,100.4675764,6.991413,1540.5774807082084,False,,,17,21,38,19,1,0.0010528351974129668,2,0.0009533946703215376
1680662736,6.9914406,100.4678075,,3,,100.4678075,6.9914406,937.4807027403315,False,,,26,27,53,26,1,0.0010297365886772767,2,0.0008032892089326878
1680662744,6.9914134,100.4712646,,3,,100.4712646,6.9914134,1350.1150003353257,False,,,23,29,52,28,1,0.0008635341174743245,1,0.0008570108289234057
1680662748,6.991438,100.4669451,,3,,100.4669451,6.991438,2444.8646799414937,False,,,21,27,48,21,1,0.0014096324338829962,2,0.001514203765412824
1680662753,6.9914632,100.4645114,,3,,100.4645114,6.9914632,1224.9073073864715,False,,,18,31,49,14,1,0.0016089219526946655,3,0.00339758359635783
1680662760,6.9915174,100.4684099,,3,,100.4684099,6.9915174,998.5675029321443,False,,,28,17,45,31,1,0.0012061898917281042,2,0.0006883387000535872
1680662785,6.9919021,100.480702,,1,,100.480702,6.9919021,550.5068311183288,False,,,22,27,49,24,1,0.0013931712949992446,5,0.00209897054988668
1680662801,6.9914881,100.4754554,,3,,100.4754554,6.9914881,661.0492250259191,False,,,19,19,38,27,3,0.000596491928882643,1,0.00018271899813945955
1680662818,6.9915554,100.4765551,,3,,100.4765551,6.9915554,2103.5915145826157,False,,,26,23,49,24,1,0.0004316892134131525,5,0.00015756663293551893
1680662857,6.9916175,100.4651781,,3,,100.4651781,6.9916175,1258.9369745258027,False,,,16,33,49,23,1,0.002291099893915882,2,0.0032512171825643255
1680662867,6.9916239,100.4755334,,3,,100.4755334,6.9916239,1386.4854069153962,False,,,23,16,39,24,3,0.0004740310437391923,1,0.00012432098795226844
1680662868,6.9916156,100.4781803,,4,,100.4781803,6.9916156,2835.3375712341935,False,,,22,29,51,34,3,0.0011562872492790115,1,0.0008975421268519243
1680662928,6.9918296,100.468362,,3,,100.468362,6.9918296,1355.8970497277853,False,,,11,23,34,20,1,0.001481453212594211,2,0.0009966793527500634
1680662969,6.9918378,100.4639654,,1,,100.4639654,6.9918378,867.3827194096316,False,,,21,28,49,26,1,0.0012022277386395234,3,0.0039712041809311805
1680663045,6.9921329,100.4683289,,3,,100.4683289,6.9921329,595.5606456957248,False,,,22,30,52,19,1,0.001765048043134591,2,0.001299574560771325
1680663049,6.992011,100.4703444,,3,,100.4703444,6.992011,1521.7631842308322,False,,,27,21,48,32,1,0.0007644239205222299,2,0.0006915028217460281
1680663064,6.9920731,100.4650628,,3,,100.4650628,6.9920731,1592.7372562218738,False,,,18,19,37,31,1,0.002298561261762601,2,0.0034976289566561567
1680663097,6.9920862,100.4707375,,4,,100.4707375,6.9920862,1810.8562778685491,False,,,23,18,41,23,1,0.0008956367785851149,2,0.0004247518428653718
1680663129,6.9921558,100.4711241,,3,,100.4711241,6.9921558,1505.21633279111,False,,,22,32,54,18,1,0.0011493200758007007,2,0.00045057614097449554
