u,v,key,osmid,highway,name,oneway,reversed,length,bridge,lanes,maxspeed,ref,junction,access,tunnel,flood_level_u,flood_level_v,flood_level
1680664362,1680664401,0,155691108,residential,Thanon Rajdamrei Soi 2,False,False,65.83381203388987,,,,,,,,2,3,3
1680664362,1431715414,0,699753146,residential,ถนนจันทร์นิเวศน์ 3,False,False,46.84402949810085,,,,,,,,2,2,2
1680664362,1680664329,0,699753146,residential,ถนนจันทร์นิเวศน์ 3,False,True,10.284538750931093,,,,,,,,2,2,2
1680664363,4900465368,0,155690759,residential,Thanon Deeland 1,False,False,99.33452371753664,,,,,,,,1,1,1
1680664363,1680664322,0,931321078,tertiary,ถนนพลพิชัย,False,False,25.954246872706857,,,,,,,,1,1,1
1680664363,1680664436,0,931321078,tertiary,ถนนพลพิชัย,False,True,30.17325672246307,,,,,,,,1,1,1
1680664366,1196924331,0,66984623,unclassified,Soi Thaveerat,False,True,6.3700247981812845,,,,,,,,3,3,3
1680664366,1680665225,0,155691112,residential,Thanon Sripoonvanart 16,True,False,215.0207817841163,,,,,,,,3,5,5
1680664366,6630248218,0,947689789,primary,ถนนกาญจนวณิชย์,True,False,363.4750225985159,,3,,,,,,3,1,3
1680664401,1680664437,0,155691108,residential,Thanon Rajdamrei Soi 2,False,False,44.8931487329533,,,,,,,,3,2,3
1680664401,1680664362,0,155691108,residential,Thanon Rajdamrei Soi 2,False,True,65.83381203388987,,,,,,,,3,2,3
1680664401,1431715414,0,"[498671634, 155690517]",residential,Thanon Rajdamrei Soi 2/3,False,"[False, True]",160.30837690814877,,,,,,,,3,2,3
1680664436,1680664320,0,155690668,residential,,False,True,138.02098316013107,,,,,,,,1,1,1
1680664436,4900465457,0,931321078,tertiary,ถนนพลพิชัย,False,True,59.63615292201219,,,,,,,,1,1,1
1680664436,1680664363,0,931321078,tertiary,ถนนพลพิชัย,False,False,30.17325672246307,,,,,,,,1,1,1
1680664437,1680664603,0,95637123,residential,Soi 5 Thung Sao 2 Road,False,False,50.36908445141771,,,,,,,,2,1,2
