osmid,y,x,highway,street_count,junction,longitude,latitude,gridcode,flood_distance_deg,flood_level
947896976,6.998024,100.4739691,,3,,100.4739691,6.998024,2,0.0011564300543793005,2
947896977,7.0018988,100.497013,,3,,100.497013,7.0018988,3,0.008971055508504255,3
947896979,7.0116953,100.4818636,,3,,100.4818636,7.0116953,3,0.0004873610636926913,3
947896981,7.0137749,100.48222,,4,,100.48222,7.0137749,1,0.0007079262408848013,1
947896982,6.9990602,100.4737837,,4,,100.4737837,6.9990602,2,0.0019782845997555485,2
947896983,6.9972048,100.5002,,3,,100.5002,6.9972048,1,0.013301599316083788,1
947896985,7.0136152,100.4833871,,3,,100.4833871,7.0136152,4,0.00028694929165916594,4
947896989,7.0118832,100.4818992,,4,,100.4818992,7.0118832,3,0.0006750170507210732,3
947896994,7.001814,100.5004668,,3,,100.5004668,7.001814,3,0.012359452266020088,3
985092239,7.0105593,100.4699593,,3,,100.4699593,7.0105593,2,0.000722496246601944,2
985092359,7.0201116,100.4767576,,3,,100.4767576,7.0201116,5,0.0017231913895807529,5
985092433,7.0309431,100.473924,,3,,100.473924,7.0309431,4,0.0006007797426468061,4
985092459,7.0282888,100.4696655,,4,yes,100.4696655,7.0282888,4,0.0004684877189384354,4
985092499,7.030093,100.4741786,,3,,100.4741786,7.030093,4,0.0011236410691065537,4
985092634,7.0184683,100.4823974,,4,,100.4823974,7.0184683,2,0.0009456144412989408,2
985092700,7.0105275,100.4700939,,4,,100.4700939,7.0105275,2,0.000618413056171258,2
985092779,6.9979066,100.4701327,traffic_signals,4,,100.4701327,6.9979066,3,0.0004277069203393475,3
985092815,7.0177499,100.4707945,traffic_signals,4,,100.4707945,7.0177499,2,0.0016243329781717502,2
986071883,6.8321363,100.4637925,,3,,100.4637925,6.8321363,1,0.002959641123465908,1
986071975,6.96296,100.47528,,3,,100.47528,6.96296,1,0.004532266019254122,1
986072007,6.9785463,100.4810335,,3,,100.4810335,6.9785463,1,0.002152944971147675,1
986072089,6.9406034,100.4708213,,3,,100.4708213,6.9406034,1,0.0038862491670793816,1
986072137,6.96525,100.47571,,4,,100.47571,6.96525,1,0.004085195775422929,1
986072171,6.9689172,100.4769027,,3,,100.4769027,6.9689172,1,0.0060767001098553566,1
986084781,6.9904254,100.4842058,,3,,100.4842058,6.9904254,1,0.0029982186537402073,1
986090102,6.9985888,100.4889053,,3,,100.4889053,6.9985888,1,0.004972386938338957,1
986090146,6.9986314,100.4888723,traffic_signals,3,,100.4888723,6.9986314,1,0.004920117030204459,1
986090190,6.9989481,100.4891354,traffic_signals,3,,100.4891354,6.9989481,1,0.0049489533066203375,1
986101211,6.9834009,100.4816026,,3,,100.4816026,6.9834009,1,0.0011797136260917442,1
986101373,6.974742,100.4794141,traffic_signals,4,,100.4794141,6.974742,4,0.002203358301667626,4
986110092,6.9346958,100.4694283,,3,,100.4694283,6.9346958,5,0.004847077257805194,5
