osmid,y,x,highway,street_count,junction,longitude,latitude
809537716,7.0162038,100.4824994,,3,,100.4824994,7.0162038
809537729,7.0192448,100.4976281,,3,,100.4976281,7.0192448
809537730,6.9983836,100.4795413,,4,,100.4795413,6.9983836
809537731,6.996624,100.5026452,,4,,100.5026452,6.996624
809537750,7.000156,100.4941296,,3,,100.4941296,7.000156
809537759,7.0018441,100.5000484,,3,,100.5000484,7.0018441
809537797,7.0180708,100.4795991,,3,,100.4795991,7.0180708
809537799,7.0085168,100.4936666,,4,,100.4936666,7.0085168
809537814,7.0195504,100.4955997,,3,,100.4955997,7.0195504
809537820,7.0089067,100.4814243,traffic_signals,4,,100.4814243,7.0089067
809537830,7.0005323,100.4996807,,3,,100.4996807,7.0005323
809537841,6.9990314,100.4890569,,3,,100.4890569,6.9990314
823954353,7.0139577,100.4929914,,3,,100.4929914,7.0139577
823954361,7.0133764,100.4852179,,3,,100.4852179,7.0133764
823954362,7.0138524,100.4860728,,3,,100.4860728,7.0138524
823954363,7.014086,100.4950256,,3,,100.4950256,7.014086
823954365,7.0139431,100.4879197,,4,,100.4879197,7.0139431
849403330,7.0170091,100.4863472,,3,,100.4863472,7.0170091
849403339,7.0190841,100.488251,,3,,100.488251,7.0190841
849403352,7.0054336,100.4846966,traffic_signals,4,,100.4846966,7.0054336
849403365,7.0161191,100.4881007,,4,,100.4881007,7.0161191
849403384,7.0051541,100.4805461,traffic_signals,4,,100.4805461,7.0051541
849403388,7.016706,100.4878721,,3,,100.4878721,7.016706
849403403,7.0106328,100.485311,,3,,100.485311,7.0106328
849403406,7.0064003,100.4928334,,3,,100.4928334,7.0064003
849403426,7.0188162,100.4858653,,3,,100.4858653,7.0188162
849403427,7.0158958,100.4880597,,3,,100.4880597,7.0158958
849403447,7.0158872,100.4851514,,3,,100.4851514,7.0158872
849403465,7.0188856,100.4865069,traffic_signals,4,,100.4865069,7.0188856
849403480,7.0161803,100.487697,,4,,100.487697,7.0161803
849403482,7.0049611,100.4923327,traffic_signals,4,,100.4923327,7.0049611
849403490,7.0093218,100.4852835,,3,,100.4852835,7.0093218
849403500,7.0051611,100.480653,traffic_signals,4,,100.480653,7.0051611
849403509,7.0170717,100.4860121,,3,,100.4860121,7.0170717
849403518,7.0179174,100.4859534,,3,,100.4859534,7.0179174
