u,v,key,osmid,highway,oneway,ref,reversed,length,geometry,lanes_clean,capacity,name,lanes,bridge,maxspeed,access,junction,tunnel,flood_level_s0,flood_level_s1
4900465408,8643255340,0,155690987,residential,False,,False,28.694663664905214,"LINESTRING (100.4626126 6.9951109, 100.4625599 6.9953636)",1.0,100.43132282716824,,,,,,,,0,1
4900465408,1680664320,0,155690987,residential,False,,True,12.839646408491356,"LINESTRING (100.4626126 6.9951109, 100.4626219 6.9949958)",1.0,44.938762429719745,,,,,,,,0,1
4900465408,4900466280,0,498671315,residential,False,,False,103.65263773271197,"LINESTRING (100.4626126 6.9951109, 100.4616985 6.994897)",1.0,362.7842320644919,,,,,,,,0,1
8643255341,8643255340,0,932383059,residential,False,,False,95.82144868137833,"LINESTRING (100.4617149 6.9951657, 100.4625599 6.9953636)",1.0,335.37507038482414,,,,,,,,0,1
1680665363,1680665321,0,931321078,tertiary,False,,False,15.918218899590808,"LINESTRING (100.4624178 6.9975073, 100.4624293 6.9973646)",1.0,55.71376614856783,ถนนพลพิชัย,,,,,,,0,3
1680665363,4900465637,0,931321078,tertiary,False,,True,34.63920827278433,"LINESTRING (100.4624178 6.9975073, 100.4621847 6.9977159)",1.0,121.23722895474515,ถนนพลพิชัย,,,,,,,0,3
1680665363,1680665239,0,155691003,residential,False,,False,144.63981125127003,"LINESTRING (100.4624178 6.9975073, 100.4626472 6.9975955, 100.4633278 6.9976012, 100.4633336 6.9972202)",1.0,506.23933937944514,,,,,,,,0,3
8634028435,8634028437,0,"[1216723168, 931256569]",secondary,True,,False,22.27972724572794,"LINESTRING (100.4652535 6.9969186, 100.4653772 6.9969507, 100.4654488 6.9969693)",1.0,77.97904536004779,ถนนศรีภูวนารถ,,,,,,,0,1
8634028435,8634028438,0,931256570,tertiary,True,,False,37.461335503165316,"LINESTRING (100.4652535 6.9969186, 100.465272 6.9969476, 100.4653206 6.9970265, 100.4653493 6.9970807, 100.4653551 6.9971473, 100.4653436 6.9972176, 100.4653395 6.9972276)",1.0,131.11467426107862,,,,,,,,0,1
4900465119,1680664320,0,155690987,residential,False,,False,17.58469946746841,"LINESTRING (100.462654 6.9948409, 100.4626219 6.9949958)",1.0,61.54644813613944,,,,,,,,0,1
4900465119,1680664214,0,155690987,residential,False,,True,21.80041348058612,"LINESTRING (100.462654 6.9948409, 100.462699 6.99465)",1.0,76.30144718205142,,,,,,,,0,1
4900465119,4900465117,0,498671449,residential,False,,True,50.943121473085775,"LINESTRING (100.462654 6.9948409, 100.4627435 6.9948243, 100.4629152 6.9948573, 100.4629809 6.9949075, 100.4630893 6.9949382)",1.0,178.3009251558002,,,,,,,,0,1
4900465119,8635181944,0,931389386,residential,False,,True,90.03519258317513,"LINESTRING (100.462654 6.9948409, 100.4624464 6.9947903, 100.4618611 6.9946505)",1.0,315.123174041113,,,,,,,,0,1
4900465368,1680664471,0,155690759,residential,False,,False,64.91214914213116,"LINESTRING (100.4648018 6.9954423, 100.4653719 6.9955858)",1.0,227.19252199745904,Thanon Deeland 1,,,,,,,0,1
4900465368,1680664363,0,155690759,residential,False,,True,99.33452079816732,"LINESTRING (100.4648018 6.9954423, 100.463929 6.9952242)",1.0,347.6708227935856,Thanon Deeland 1,,,,,,,0,1
4900465368,4900465367,0,498671538,residential,False,,True,45.128999660529274,"LINESTRING (100.4648018 6.9954423, 100.464868 6.9950418)",1.0,157.95149881185245,,,,,,,,0,1
1680664322,4900465367,0,155690784,residential,False,,False,87.93691759718922,"LINESTRING (100.4640715 6.9950214, 100.464868 6.9950418)",1.0,307.7792115901623,,,,,,,,0,1
1680664322,1680664363,0,931321078,tertiary,False,,True,27.49306412535949,"LINESTRING (100.4640715 6.9950214, 100.463929 6.9952242)",1.0,96.2257244387582,ถนนพลพิชัย,,,,,,,0,1
1680664322,1108909332,0,931321078,tertiary,False,,False,73.50404584193538,"LINESTRING (100.4640715 6.9950214, 100.4642076 6.9948373, 100.4644804 6.9944998)",1.0,257.2641604467738,ถนนพลพิชัย,,,,,,,0,1
4900466280,4900465408,0,498671315,residential,False,,True,103.65263773271197,"LINESTRING (100.4616985 6.994897, 100.4626126 6.9951109)",1.0,362.7842320644919,,,,,,,,0,1
4900465637,4900465636,0,498671598,residential,False,,True,112.88132476915197,"LINESTRING (100.4621847 6.9977159, 100.4612149 6.9973934)",1.0,395.0846366920319,,,,,,,,0,3
4900465637,1680665363,0,931321078,tertiary,False,,False,34.63920827278433,"LINESTRING (100.4621847 6.9977159, 100.4624178 6.9975073)",1.0,121.23722895474515,ถนนพลพิชัย,,,,,,,0,3
4900465637,1680665542,0,931321078,tertiary,False,,True,61.91174476026525,"LINESTRING (100.4621847 6.9977159, 100.4618682 6.9981756)",1.0,216.69110666092837,ถนนพลพิชัย,,,,,,,0,3
1680665239,1680665363,0,155691003,residential,False,,True,144.63981125127,"LINESTRING (100.4633336 6.9972202, 100.4633278 6.9976012, 100.4626472 6.9975955, 100.4624178 6.9975073)",1.0,506.239339379445,,,,,,,,0,3
8634028437,8634028438,0,931256572,tertiary,True,,False,31.152110993063367,"LINESTRING (100.4654488 6.9969693, 100.4653395 6.9972276)",1.0,109.03238847572179,,,,,,,,0,1
8634028437,8634028436,0,1216723169,secondary,True,,False,12.05420259095581,"LINESTRING (100.4654488 6.9969693, 100.4655529 6.9970021)",1.0,42.18970906834534,ถนนศรีภูวนารถ,,,,,,,0,1
8634028438,1680665488,0,"[931256570, 243188783]",tertiary,True,,False,85.13948562059483,"LINESTRING (100.4653395 6.9972276, 100.4653059 6.9973088, 100.4652161 6.9974836, 100.4651915 6.9975314, 100.4650953 6.9977134, 100.4649967 6.9979132)",1.0,297.9881996720819,ถนนราษฏร์อุทิศ,,,,,,,0,2
