osmid,y,x,highway,street_count,junction,longitude,latitude
2506094921,7.0203846,100.4568108,,1,,100.4568108,7.0203846
2506094931,7.020403,100.466367,,3,,100.466367,7.020403
2506094940,7.0203994,100.461518,,3,,100.461518,7.0203994
2506095007,7.0204149,100.4600249,,4,,100.4600249,7.0204149
2506095101,7.0204935,100.4528876,,1,,100.4528876,7.0204935
2506095129,7.0205083,100.4537601,,3,,100.4537601,7.0205083
2506095199,7.0205096,100.4674197,,1,,100.4674197,7.0205096
2506095253,7.0205482,100.4640018,,3,,100.4640018,7.0205482
2506095493,7.0207955,100.4663142,,3,,100.4663142,7.0207955
2506095520,7.0207987,100.4599994,,4,,100.4599994,7.0207987
2506095568,7.0208595,100.4552592,,4,,100.4552592,7.0208595
2506095596,7.0208983,100.4637772,,3,,100.4637772,7.0208983
2506095614,7.0208743,100.4537538,,4,,100.4537538,7.0208743
2506095652,7.0209352,100.4680625,,1,,100.4680625,7.0209352
2506095662,7.0209573,100.4552601,,4,,100.4552601,7.0209573
2506095681,7.0209556,100.455354,,4,,100.455354,7.0209556
2506095755,7.0210856,100.4655209,,1,,100.4655209,7.0210856
2506095768,7.021169,100.4537351,,3,,100.4537351,7.021169
2506095776,7.0211721,100.466265,,4,,100.466265,7.0211721
2506095879,7.0212474,100.4552561,,3,,100.4552561,7.0212474
2506095898,7.0212201,100.4539582,,3,,100.4539582,7.0212201
2506095945,7.0212994,100.4599933,,3,,100.4599933,7.0212994
2506095966,7.0213331,100.4680835,,1,,100.4680835,7.0213331
2506096006,7.0213195,100.459093,,3,,100.459093,7.0213195
2506096016,7.0213667,100.4605435,,3,,100.4605435,7.0213667
2506096044,7.021437,100.4599643,,3,,100.4599643,7.021437
2506096119,7.0215047,100.4528201,,1,,100.4528201,7.0215047
2506096128,7.0215054,100.4605159,,3,,100.4605159,7.0215054
2506096155,7.0215425,100.4537112,,3,,100.4537112,7.0215425
2506096175,7.0215382,100.4654897,,1,,100.4654897,7.0215382
2506096208,7.0215919,100.4662084,,3,,100.4662084,7.0215919
2506096242,7.0215794,100.4578913,,1,,100.4578913,7.0215794
2506096273,7.0216902,100.463228,,3,,100.463228,7.0216902
2506096291,7.0216798,100.4690141,,3,,100.4690141,7.0216798
2506096310,7.0217454,100.4683243,,4,,100.4683243,7.0217454
2506096350,7.0218804,100.4521693,,1,,100.4521693,7.0218804
2506096359,7.021884,100.4536885,,3,,100.4536885,7.021884
2506096486,7.0220838,100.4521978,,1,,100.4521978,7.0220838
2506096496,7.022112,100.4536793,,4,,100.4536793,7.022112
