u,v,key,osmid,highway,name,oneway,reversed,length,bridge,lanes,maxspeed,ref,junction,access,tunnel
1680664171,1680664255,0,155690745,residential,Thanon Kaewsanit,False,False,45.5897432323503,,,,,,,
1680664171,1431715381,0,706265654,unclassified,Thung Sao 1 Rd,False,False,44.77751349476694,,,,,,,
1680664171,796747673,0,706265654,unclassified,Thung Sao 1 Rd,False,True,50.538128979923044,,,,,,,
1680664183,8363189525,0,155690366,residential,Thanon Sutthisamit,False,True,20.304202599724178,,,,,,,
1680664183,8363189533,0,900226784,residential,,False,True,49.104463398057575,,,,,,,
1680664183,8363189534,0,900226785,residential,,False,False,37.88603541064834,,,,,,,
1680664214,1680664160,0,155690698,residential,,False,True,97.88880771659299,,,,,,,
1680664214,4900465119,0,155690987,residential,,False,False,19.205528761519517,,,,,,,
1680664214,8635153349,0,155690987,residential,,False,True,177.04473430762215,,,,,,,
1680664228,1431715388,0,129827550,residential,Soi 3 Thung Sao 1,False,False,61.8736925617141,,,,,,,
1680664228,1431715456,0,129827550,residential,Soi 3 Thung Sao 1,False,True,46.37424880914549,,,,,,,
1680664228,1680663909,0,155690744,residential,Thanon Thungsao 2 Soi 3,False,True,110.42290134037381,,,,,,,
1680664255,1680664329,0,155690745,residential,Thanon Kaewsanit,False,False,80.1896648173948,,,,,,,
1680664255,1680664171,0,155690745,residential,Thanon Kaewsanit,False,True,45.5897432323503,,,,,,,
1680664255,8635169926,0,931388873,residential,,False,True,49.79860709148821,,,,,,,
1680664277,1431715442,0,95637131,unclassified,Thanon Thungsao 2,False,True,52.47432282030301,,,,,,,
1680664277,1431715400,0,95637131,unclassified,Thanon Thungsao 2,False,False,52.124040187883296,,,,,,,
1680664277,1680664013,0,155690986,residential,Soi Kum Uthit 3,False,True,87.80394253976138,,,,,,,
1680664320,1680664436,0,155690668,residential,,False,False,138.02098316013107,,,,,,,
1680664320,4900465408,0,155690987,residential,,False,False,12.839646409218325,,,,,,,
1680664320,4900465119,0,155690987,residential,,False,True,22.02543573833543,,,,,,,
1680664322,4900465367,0,155690784,residential,,False,False,87.93691759718922,,,,,,,
1680664322,1680664363,0,931321078,tertiary,ถนนพลพิชัย,False,True,25.954246872706854,,,,,,,
1680664322,1108909332,0,931321078,tertiary,ถนนพลพิชัย,False,False,73.50404584193538,,,,,,,
1680664329,1680664255,0,155690745,residential,Thanon Kaewsanit,False,True,80.1896648173948,,,,,,,
1680664329,1680664362,0,699753146,residential,ถนนจันทร์นิเวศน์ 3,False,False,10.284538750931091,,,,,,,
1680664329,1431715456,0,699753146,residential,ถนนจันทร์นิเวศน์ 3,False,True,57.88802802271307,,,,,,,
1680664343,1680664350,0,155690784,residential,,False,False,36.97418176818349,,,,,,,
1680664343,4900465367,0,155690784,residential,,False,True,65.02060102148282,,,,,,,
